country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",08-04-2025 22:00:00,23.107969,72.574648,NH3,3.0,8.0,4.0
India,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",08-04-2025 22:00:00,17.321993,76.822628,PM10,44.0,107.0,74.0
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",08-04-2025 22:00:00,17.336318,76.847397,PM10,34.0,75.0,45.0
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",08-04-2025 22:00:00,17.336318,76.847397,OZONE,1.0,20.0,15.0
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB",08-04-2025 22:00:00,15.34763,76.181767,NH3,1.0,3.0,2.0
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB",08-04-2025 22:00:00,12.415911,75.73505,SO2,4.0,4.0,4.0
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB",08-04-2025 22:00:00,12.415911,75.73505,OZONE,3.0,6.0,4.0
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB",08-04-2025 22:00:00,12.88925,74.853,PM2.5,35.0,52.0,41.0
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB",08-04-2025 22:00:00,12.88925,74.853,NO2,3.0,6.0,5.0
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB",08-04-2025 22:00:00,12.88925,74.853,NH3,1.0,1.0,1.0
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB",08-04-2025 22:00:00,12.88925,74.853,OZONE,18.0,19.0,18.0
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",08-04-2025 22:00:00,12.920984,77.584908,SO2,1.0,8.0,5.0
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB",08-04-2025 22:00:00,13.003872,77.664217,PM2.5,35.0,43.0,38.0
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB",08-04-2025 22:00:00,13.003872,77.664217,CO,18.0,52.0,33.0
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",08-04-2025 22:00:00,13.0270199,77.494094,CO,4.0,98.0,59.0
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",08-04-2025 22:00:00,12.921418,77.502466,PM2.5,70.0,72.0,71.0
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",08-04-2025 22:00:00,12.921418,77.502466,NO2,28.0,33.0,33.0
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",08-04-2025 22:00:00,12.921418,77.502466,OZONE,20.0,22.0,21.0
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",08-04-2025 22:00:00,12.990328,77.5431385,PM10,2.0,40.0,18.0
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",08-04-2025 22:00:00,13.0246342,77.5080115,PM2.5,37.0,73.0,49.0
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",08-04-2025 22:00:00,28.3153,76.9143,CO,1.0,46.0,6.0
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",08-04-2025 22:00:00,30.943887,76.801991,PM10,80.0,348.0,147.0
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",08-04-2025 22:00:00,30.943887,76.801991,OZONE,94.0,183.0,155.0
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",08-04-2025 22:00:00,23.80569,86.44268,CO,2.0,2.0,2.0
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",08-04-2025 22:00:00,12.9135218,77.5950804,CO,21.0,32.0,24.0
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",08-04-2025 22:00:00,12.951913,77.539784,NO2,4.0,11.0,9.0
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",08-04-2025 22:00:00,12.951913,77.539784,CO,12.0,74.0,65.0
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",08-04-2025 22:00:00,12.920984,77.584908,PM2.5,28.0,63.0,47.0
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",08-04-2025 22:00:00,12.917348,77.622813,SO2,10.0,14.0,12.0
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",08-04-2025 22:00:00,12.917348,77.622813,CO,8.0,54.0,29.0
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",08-04-2025 22:00:00,12.917348,77.622813,OZONE,13.0,70.0,46.0
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",08-04-2025 22:00:00,11.55358,76.55521,NO2,22.0,36.0,26.0
